emoji/emoticon|key words
:‑)| smiley happy face 
:)| smiley happy face 
:-]| smiley happy face 
:]| smiley happy face 
:-3| smiley happy face 
:3| smiley happy face 
:-&gt;| smiley happy face 
:&gt;| smiley happy face 
8-)| smiley happy face 
8)| smiley happy face 
:-}| smiley happy face 
:}| smiley happy face 
:o)| smiley happy face 
:c)| smiley happy face 
:^)| smiley happy face 
=]| smiley happy face 
=)| smiley happy face 
️| smiley happy face 
:‑D| laughing big grin laugh glasses wide eyed surprise 
:D| laughing big grin laugh glasses wide eyed surprise 
8‑D| laughing big grin laugh glasses wide eyed surprise 
8D| laughing big grin laugh glasses wide eyed surprise 
x‑D| laughing big grin laugh glasses wide eyed surprise 
xD| laughing big grin laugh glasses wide eyed surprise 
X‑D| laughing big grin laugh glasses wide eyed surprise 
XD| laughing big grin laugh glasses wide eyed surprise 
=D| laughing big grin laugh glasses wide eyed surprise 
=3| laughing big grin laugh glasses wide eyed surprise 
B^D| laughing big grin laugh glasses wide eyed surprise 
:-))| happy double chin 
:‑(| frown sad angry pouting 
:(| frown sad angry pouting 
:‑c| frown sad angry pouting 
:c| frown sad angry pouting 
:‑&lt; | frown sad angry pouting 
:&lt;| frown sad angry pouting 
:‑[| frown sad angry pouting 
:[| frown sad angry pouting 
":-||"| frown sad angry pouting 
 &gt;:[| frown sad angry pouting 
:{| frown sad angry pouting 
:@| frown sad angry pouting 
;(| frown sad angry pouting 
:'‑(| crying 
:'(| crying 
:'‑)| tears happiness 
:')| tears happiness 
D‑':| horror disgust sadness great dismay right left 
D:&lt;| horror disgust sadness great dismay right left 
D:| horror disgust sadness great dismay right left 
D8| horror disgust sadness great dismay right left 
D;| horror disgust sadness great dismay right left 
D=| horror disgust sadness great dismay right left 
DX| horror disgust sadness great dismay right left 
:‑O| surprise shock yawn 
:O| surprise shock yawn 
:‑o| surprise shock yawn 
:o| surprise shock yawn 
:-0| surprise shock yawn 
8‑0| surprise shock yawn 
&gt;:O| surprise shock yawn 
:-*| kiss 
:*| kiss 
:×| kiss 
;‑)| wink smirk 
;)| wink smirk 
*-)| wink smirk 
*)| wink smirk 
;‑]| wink smirk 
;]| wink smirk 
;^)| wink smirk 
:‑,| wink smirk 
;D| wink smirk 
:‑P| tongue sticking cheeky playful blowing raspberry 
:P| tongue sticking cheeky playful blowing raspberry 
X‑P| tongue sticking cheeky playful blowing raspberry 
XP| tongue sticking cheeky playful blowing raspberry 
x‑p| tongue sticking cheeky playful blowing raspberry 
xp| tongue sticking cheeky playful blowing raspberry 
:‑p| tongue sticking cheeky playful blowing raspberry 
:p| tongue sticking cheeky playful blowing raspberry 
:‑Þ| tongue sticking cheeky playful blowing raspberry 
:Þ| tongue sticking cheeky playful blowing raspberry 
:‑þ| tongue sticking cheeky playful blowing raspberry 
:þ| tongue sticking cheeky playful blowing raspberry 
:‑b| tongue sticking cheeky playful blowing raspberry 
:b| tongue sticking cheeky playful blowing raspberry 
d:| tongue sticking cheeky playful blowing raspberry 
=p| tongue sticking cheeky playful blowing raspberry 
&gt;:P| tongue sticking cheeky playful blowing raspberry 
:‑/| skeptical annoyed undecided uneasy hesitant 
:/| skeptical annoyed undecided uneasy hesitant 
:‑.| skeptical annoyed undecided uneasy hesitant 
&gt;:\| skeptical annoyed undecided uneasy hesitant 
&gt;:/| skeptical annoyed undecided uneasy hesitant 
:\| skeptical annoyed undecided uneasy hesitant 
=/| skeptical annoyed undecided uneasy hesitant 
=\| skeptical annoyed undecided uneasy hesitant 
:L| skeptical annoyed undecided uneasy hesitant 
=L| skeptical annoyed undecided uneasy hesitant 
:S| skeptical annoyed undecided uneasy hesitant 
":‑|"| straight face no expression indecision 
":|"| straight face no expression indecision 
:$| embarrassed blushing 
://)| embarrassed blushing 
://3| embarrassed blushing 
:‑X| sealed lips wearing braces tongue tied 
:X| sealed lips wearing braces tongue tied 
:‑#| sealed lips wearing braces tongue tied 
:#| sealed lips wearing braces tongue tied 
:‑&amp;| sealed lips wearing braces tongue tied 
:&amp;| sealed lips wearing braces tongue tied 
O:‑)| angel saint innocent 
O:)| angel saint innocent 
0:‑3| angel saint innocent 
0:3| angel saint innocent 
0:‑)| angel saint innocent 
0:)| angel saint innocent 
0;^)| angel saint innocent 
&gt;:‑)| evil devilish 
}:‑)| evil devilish 
}:)| evil devilish 
3:‑)| evil devilish 
3:)| evil devilish 
&gt;;)| evil devilish 
&gt;:3| evil devilish 
;3| evil devilish 
"|;‑)"| cool bored yawning 
"|‑O"| cool bored yawning 
:‑J| tongue cheek 
#‑)| parties night 
—| parties night 
%‑)| drunk confused 
%)| drunk confused 
:‑###..| sick 
:###..| sick 
"&lt;:‑|"| dumb dunce like 
"',:-|"| scepticism disbelief disapproval 
',:-l| scepticism disbelief disapproval 
:E| grimacing nervous awkward 
@};- @}->-- @}‑;‑'‑‑‑ @>‑‑>‑‑| rose 
5:‑)| elvis presley 
~:‑\| elvis presley 
"*<|:‑)"| santa claus 
~(_8^(I)| homer simpson 
=:o]| bill clinton 
7:^]| ronald reagan 
,:‑)| ronald reagan 
</3| broken heart 
<\3| broken heart 
<3| heart 
❤️| heart 
><>| fish something fishy christian fish 
<*)))‑{| fish something fishy christian fish 
><(((*>| fish something fishy christian fish 
\o/| cheer yay yay 
*\0/*| cheerleader 
//0‑0\\| john lennon 
v.v| horror disgust sadness great dismay 
O_O| surprise shock yawn 
o‑o| surprise shock yawn 
O_o| surprise shock yawn 
o_O| surprise shock yawn 
o_o| surprise shock yawn 
O-O| surprise shock yawn 
>.<| skeptical annoyed undecided uneasy hesitant 
^5| high five 
o/\o| high five 
>_>^ ^<_<| high five 
(>_<)>| troubled 
(>_<)| troubled 
(| baby 
';')| baby 
(^_^;)| nervous embarrassed troubled shy sweat drop 
(-_-;)| nervous embarrassed troubled shy sweat drop 
(~_~;)| nervous embarrassed troubled shy sweat drop 
(・_・;)| nervous embarrassed troubled shy sweat drop 
(・・;)| nervous embarrassed troubled shy sweat drop 
^_^;| nervous embarrassed troubled shy sweat drop 
(#^.^#)| nervous embarrassed troubled shy sweat drop 
(^| nervous embarrassed troubled shy sweat drop 
^;)| nervous embarrassed troubled shy sweat drop 
^ゞ| nervous embarrassed troubled shy sweat drop 
(・.・;)| nervous embarrassed troubled shy sweat drop 
^^;| nervous embarrassed troubled shy sweat drop 
(-.-)y-°°°| smoking 
(^.^)y-.o○| smoking 
-_-)zzz| sleeping 
(^_-)-☆| wink 
(^_-)| wink 
(+o+)| confused 
(°°)| confused 
(°-°)| confused 
(°_°)| confused 
(°_°>)| confused 
(°レ°)| confused 
((+_+))| confused 
(°.°)| confused 
"o|o)"| ultramar 
<(| n 
｀| n 
^´| n 
)>| n 
(°o°)| joyful 
(^_^)/| joyful 
(^O^)／| joyful 
(^o^)／| joyful 
(^^)/| joyful 
(/◕ヮ◕)/| joyful 
(^o^)丿| joyful 
∩(·ω·)∩| joyful 
(·ω·)| joyful 
^ω^| joyful 
^_^| joyful 
(≧∇≦)/| joyful 
_(._.)_| kowtow sign respect dogma apology 
_(_^_)_| kowtow sign respect dogma apology 
<(_ _)>| kowtow sign respect dogma apology 
m(__)m| kowtow sign respect dogma apology 
m(_ _)m| kowtow sign respect dogma apology 
(__)| kowtow sign respect dogma apology 
<>| kowtow sign respect dogma apology 
(／ロ°)／| questioning 
＼(°ロ＼)| questioning 
(/_;)| sad crying 
(T_T)| sad crying 
(;_;| sad crying 
(;_:)| sad crying 
(;O;)| sad crying 
(:_;)| sad crying 
(ToT)| sad crying 
(Ｔ▽Ｔ)| sad crying 
;-;| sad crying 
;n;| sad crying 
;;| sad crying 
Q.Q| sad crying 
T.T| sad crying 
TnT| sad crying 
QQ| sad crying 
Q_Q| sad crying 
('_')| sad crying 
;_;| sad crying 
(-.-)| shame 
(-_-)| shame 
(一一)| shame 
(；一_一)| shame 
(ー_ー)!!| shame 
=_=)| tired 
(=^・・^=)| cat 
=^_^=| cat 
(=^・^=)| cat 
(._.)| looking 
(..)| looking 
^m^| giggling hand covering mouth 
(?_?)| confusion 
(・・?| confusion 
‸| facepalm 
ლ| facepalm 
<^!^>| normal laugh 
^/^| normal laugh 
（*^_^*）| normal laugh 
§^.^§| normal laugh 
(^<^)| normal laugh 
(^ム^)| normal laugh 
(^·^)| normal laugh 
(^.^)| normal laugh 
(^_^.)| normal laugh 
(^_^)| normal laugh 
(^^)| normal laugh 
(*^.^*)| normal laugh 
（^—^）| normal laugh 
><| normal laugh 
(^J^)| normal laugh 
(^_^)/~| waving 
(;_;)/~~~| waving 
(^.^)/~~~| waving 
(-_-)/~~~| waving 
(@^^)/~~~| waving 
(T_T)/~~~| waving 
(ToT)/~~~| waving 
(^^)/~~~| waving 
($··)/~~~| waving 
V)o￥| alien balkan 
o(| alien balkan 
V)| alien balkan 
＼(^o^)／| excited 
＼(-o-)／| excited 
ヽ(^o^)丿| excited 
(*^0^*)| excited 
＼(~o~)／| excited 
ヽ(^。^)ノ| excited 
(*_*;| amazed 
(+_+)| amazed 
(@_@。| amazed 
(＠_＠;)| amazed 
＼(◎o◎)／！| amazed 
(*_*)| amazed 
(@_@)| amazed 
!(| n 
^^)!| n 
(^^)v| laughing cheerful 
(^_^)v| laughing cheerful 
（’-’*)| laughing cheerful 
(＾▽＾)| laughing cheerful 
(・∀・)| laughing cheerful 
(´∀`)| laughing cheerful 
(⌒▽⌒）| laughing cheerful 
(*^^)v| laughing cheerful 
(＾ｖ＾)| laughing cheerful 
(~_~)| n 
(~o~)| n 
^^ゞ| n 
p_-)| n 
d[-_-]b))| headphones listening music 
(ーー゛)| worried 
(^_^メ)| worried 
(-_-メ)| worried 
(~_~メ)| worried 
(－－〆)| worried 
(｀´)| worried 
<`～´>| worried 
<`ヘ´>| worried 
(ーー;)| worried 
"(-""-)"| worried 
(・へ・)| worried 
^0_0^)| eyelashes 
φ(..)| jotting note 
( ..)φ| jotting note 
(＾ｕ＾)| happy 
(＾◇＾)| happy 
(^O^)| happy 
(^o^)| happy 
(^○^)| happy 
)^o^(| happy 
(✿◠‿◠)| happy 
(●＾o＾●)| happy 
( ^)o(^ )| happy 
(*^▽^*)| happy 
￣| grinning 
ー| grinning 
°o°| surprised 
°O°| surprised 
o_0| surprised 
o.O| surprised 
(o.o)| surprised 
oO| surprised 
(￣□￣;)| surprised 
(*°∀°)=3| infatuation 
(*´▽｀*)| infatuation 
(°◇°)| shocked surprised 
（ ﾟ Дﾟ)| shocked surprised 
*￣| dissatisfied 
m￣| dissatisfied 
¯\_(ツ)_/¯|  
ヽ(´ー｀)┌|  
(‘A`)| snubbed deflated 
(´･ω･`)| snubbed deflated 
*^3^)/~☆| blowing kiss 
.....φ| studying good 
・∀| studying good 
・＊| studying good 
UwU| joy 
uwu| joy 
OwO| cute inquisitive perplexed sometimes associated furry random 
OWO| cute inquisitive perplexed sometimes associated furry random 
.o○| bubbles 
○o.| bubbles 
( ^^)_U~~( ^^)| cup tea 
_U~~| cup tea 
( ^^)| cup tea 
_旦~~| cup tea 
☆彡| shooting star 
☆ミ| shooting star 
>°)))彡(Q))| fish 
(Q| fish 
))| fish 
><ヨヨ| fish 
(°))<<>°))))彡<°)))彡>°))彡| fish 
>°))))彡| fish 
<°)))彡| fish 
>°))彡| fish 
<+))><<<*))>=<| fish 
))><<| fish 
<*))| fish 
>=<| fish 
<コ| octopus squid 
:彡| octopus squid 
 Ｃ| octopus squid 
:.ミ| octopus squid 
~>°)～| snake 
～| snake 
°·| bat 
_·| bat 
°～| bat 
°°)～| tadpole 
●| bomb 
STO| despair r represent head ground r forms torso z leg 
OTZ| despair r represent head ground r forms torso z leg 
OTL| despair r represent head ground r forms torso z leg 
orz| despair r represent head ground r forms torso z leg 
(╯°□°）╯︵ ┻━┻| nan 
┬──┬ ¯\_(ツ)| nan 
┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻┬─┬ノ( º _ ºノ)| nan 
┬─┬ノ( º _ ºノ)| nan 
(ノಠ益ಠ)ノ彡┻━┻| nan 
:3ミ| n 
(`･ω･´)| feel perky 
(｀-´)>| salute 
(´；ω；`)| terribly sad 
ヽ(´ー｀)ﾉ| peace mind 
ヽ(`Д´)ﾉ| irritable 
(＃ﾟДﾟ)| angry 
（ ´Д｀）| yelling panting 
（　ﾟДﾟ）| surprised loud-mouthed 
┐('～`；)┌| don know answer 
（´∀｀）| carefree 
（　´_ゝ`）| indifferent 
Σ(゜д゜;)| shocked 
( ﾟヮﾟ)| happy upbeat 
⊂二二二（＾ω＾）二⊃| bu n carefree arms stretched running soaring 
(((( ；ﾟДﾟ)))| spook 
Σ(ﾟДﾟ)| huge surprise 
( ´∀｀)σ)∀`)| jog someone cheek 
( ﾟдﾟ)| amazed 
(´ー`)y-~~| smoking 
（ ^_^）o自自o（^_^ ）| toast cheers 
m9(・∀・)| flash intuition 
ヽ(´ー`)人(´∇｀)人(`Д´)ノ| friendly 
('A`)| lonely 
（ ´,_ゝ`)| depressed unsatisfied based indifferent 
（´-`）.｡oO( ... )| thinking 
(ﾟДﾟ;≡;ﾟДﾟ)| impatience 
( ´д)ﾋｿ(´Д｀)ﾋｿ(Д｀)| whispers 
（･∀･)つ⑩| carrying money 
⊂（ﾟДﾟ⊂⌒｀つ≡≡≡(´⌒;;;≡≡≡| sliding belly whooaaa 
(ﾟдﾟ)| unforeseen 
(ﾟ⊿ﾟ)| don need 
щ(ﾟДﾟщ)   (屮ﾟДﾟ)屮| come 
（・∀・）| mocking good 
（・Ａ・）| bad 
(ﾟ∀ﾟ)| discharged drug brain golfing around ha 
（ つ Д ｀）| sad 
エェェ(´д｀)ェェエ| not convincing 
(￣ー￣)| simper snorlax 
[ﾟдﾟ]| flagged 
♪┏(・o･)┛♪┗ ( ･o･) ┓| happy expressions dancing music 
d(*⌒▽⌒*)b| happy expression 
"＿|￣|○"| given u p despair r represent head ground r forms torso z leg 
(╬ ಠ益ಠ)| extreme distaste meant appear exaggerated grimace 
(≧ロ≦)| shouting 
(ΘεΘ;)| pretending not notice asleep boredom 
"＼| ￣ヘ￣|／＿＿＿＿＿＿＿θ☆( *o*)/"| kick 
┌(；`～,)┐| discombobulated 
ε=ε=ε=┌(;*´Д`)ﾉ| running 
ヽ(´▽`)/| happy 
^ㅂ^| happy 
(l'o'l)| shocked 
ヽ(ｏ`皿′ｏ)ﾉ| really angry 
(☞ﾟヮﾟ)☞|  
☜(⌒▽⌒)☞| angel 
キタ━━━(゜∀゜)━━━!!!!! | kit excitement something appeared happened came 
ｷﾀﾜァ*･゜ﾟ･*:.｡..｡.:*･゜(n‘∀‘)ηﾟ･*:.｡. .｡.:*･゜ﾟ･* !!!!!  | girlish version 
(*´Д`)ﾊｧﾊｧ| erotic stirring 
(　´Д｀)ﾉ(´･ω･`)　ﾅﾃﾞﾅﾃﾞ| patting made made 
(*ﾟﾉOﾟ)<ｵｵｵｵｫｫｫｫｫｫｫｰｰｰｰｰｲ!| calling ooooh 
( ﾟ∀ﾟ)ｱﾊﾊ八八ﾉヽﾉヽﾉヽﾉ ＼ / ＼/ ＼| evil laugh literally ahahahaha 
（・∀・ ）ヾ(- -；)コラコラ| blaming 
お(^o^)や(^O^)す(^｡^)みぃ(^-^)ﾉﾞ| kana reading ya su mi meaning good night night 
